  0.00120000,  2.50570000
  0.00990000,  2.62930000
  0.01980000,  2.74430000
  0.02970000,  2.82180000
  0.04370000,  2.92240000
  0.06120000,  3.01440000
  0.08570000,  3.10060000
  0.12190000,  3.19250000
  0.14580000,  3.22990000
  0.18130000,  3.27300000
  0.21570000,  3.31610000
  0.24430000,  3.34200000
  0.27870000,  3.36490000
  0.31200000,  3.38790000
  0.34580000,  3.41670000
  0.37730000,  3.42530000
  0.41520000,  3.45690000
  0.44310000,  3.47990000
  0.46940000,  3.50000000
  0.49850000,  3.52300000
  0.52360000,  3.54310000
  0.55800000,  3.57760000
  0.58950000,  3.60340000
  0.61870000,  3.62930000
  0.64370000,  3.65800000
  0.66880000,  3.68100000
  0.69150000,  3.70110000
  0.72190000,  3.73280000
  0.75100000,  3.74710000
  0.77610000,  3.77590000
  0.80230000,  3.80460000
  0.82920000,  3.83910000
  0.85480000,  3.86490000
  0.88570000,  3.90800000
  0.91140000,  3.93680000
  0.92650000,  3.95110000
  0.94690000,  3.96840000
  0.96620000,  3.99710000
  0.98310000,  4.01720000
  0.99180000,  4.04310000
  0.99830000,  4.08050000
