timeout,active,inactive,run_time,idle_time,sleep_time,timeout_waiting_time,total_time,total_time_no_dpm,transitions_number,transitions_time,transition_energy,total_energy,total_energy_no_dpm
0.00,2.924000,1079.652000,2.932500,1079.576000,0.000000,0.008500,1082.576500,1082.576000,170,0.068000,0.0017000000,0.6979953200,29.8790976000
0.05,2.924000,1079.652000,2.932500,1079.576000,0.000000,0.008500,1082.576500,1082.576000,170,0.068000,0.0017000000,0.6979953200,29.8790976000
0.10,2.924000,1079.652000,2.941000,1079.567500,0.000000,0.017000,1082.576500,1082.576000,170,0.068000,0.0017000000,0.6982250750,29.8790976000
0.15,2.924000,1079.652000,2.941000,1079.567500,0.000000,0.017000,1082.576500,1082.576000,170,0.068000,0.0017000000,0.6982250750,29.8790976000
0.20,2.924000,1079.652000,2.947900,1079.561400,0.000000,0.023900,1082.576500,1082.576000,168,0.067200,0.0016800000,0.6983920380,29.8790976000
0.25,2.924000,1079.652000,2.949500,1079.560600,0.000000,0.025500,1082.576500,1082.576000,166,0.066400,0.0016600000,0.6984157420,29.8790976000
0.30,2.924000,1079.652000,2.954900,1079.557600,0.000000,0.030900,1082.576500,1082.576000,160,0.064000,0.0016000000,0.6985030720,29.8790976000
0.35,2.924000,1079.652000,2.958000,1079.554500,0.000000,0.034000,1082.576500,1082.576000,160,0.064000,0.0016000000,0.6985868650,29.8790976000
0.40,2.924000,1079.652000,2.962600,1079.549900,0.000000,0.038600,1082.576500,1082.576000,160,0.064000,0.0016000000,0.6987112030,29.8790976000
0.45,2.924000,1079.652000,2.965500,1079.547000,0.000000,0.041500,1082.576500,1082.576000,160,0.064000,0.0016000000,0.6987895900,29.8790976000
0.50,2.924000,1079.652000,2.971700,1079.544000,0.000000,0.047700,1082.576500,1082.576000,152,0.060800,0.0015200000,0.6988790000,29.8790976000
0.55,2.924000,1079.652000,2.975000,1079.541500,0.000000,0.051000,1082.576500,1082.576000,150,0.060000,0.0015000000,0.6989486550,29.8790976000
0.60,2.924000,1079.652000,2.979400,1079.537100,0.000000,0.055400,1082.576500,1082.576000,150,0.060000,0.0015000000,0.6990675870,29.8790976000
0.65,2.924000,1079.652000,2.982200,1079.534300,0.000000,0.058200,1082.576500,1082.576000,150,0.060000,0.0015000000,0.6991432710,29.8790976000
0.70,2.924000,1079.652000,2.986600,1079.529900,0.000000,0.062600,1082.576500,1082.576000,150,0.060000,0.0015000000,0.6992622030,29.8790976000
0.75,2.924000,1079.652000,2.989400,1079.527100,0.000000,0.065400,1082.576500,1082.576000,150,0.060000,0.0015000000,0.6993378870,29.8790976000
0.80,2.924000,1079.652000,2.993800,1079.522700,0.000000,0.069800,1082.576500,1082.576000,150,0.060000,0.0015000000,0.6994568190,29.8790976000
0.85,2.924000,1079.652000,2.996600,1079.519900,0.000000,0.072600,1082.576500,1082.576000,150,0.060000,0.0015000000,0.6995325030,29.8790976000
0.90,2.924000,1079.652000,3.002600,1079.517100,0.000000,0.078600,1082.576500,1082.576000,142,0.056800,0.0014200000,0.6996165070,29.8790976000
0.95,2.924000,1079.652000,3.006200,1079.515100,0.000000,0.082200,1082.576500,1082.576000,138,0.055200,0.0013800000,0.6996747270,29.8790976000
1.00,2.924000,1079.652000,3.010400,1079.510900,0.000000,0.086400,1082.576500,1082.576000,138,0.055200,0.0013800000,0.6997882530,29.8790976000
1.05,2.924000,1079.652000,3.013100,1079.508200,0.000000,0.089100,1082.576500,1082.576000,138,0.055200,0.0013800000,0.6998612340,29.8790976000
1.10,2.924000,1079.652000,3.017300,1079.504000,0.000000,0.093300,1082.576500,1082.576000,138,0.055200,0.0013800000,0.6999747600,29.8790976000
1.15,2.924000,1079.652000,3.020000,1079.501300,0.000000,0.096000,1082.576500,1082.576000,138,0.055200,0.0013800000,0.7000477410,29.8790976000
1.20,2.924000,1079.652000,3.024100,1079.497200,0.000000,0.100100,1082.576500,1082.576000,138,0.055200,0.0013800000,0.7001585640,29.8790976000
1.25,2.924000,1079.652000,3.026800,1079.494500,0.000000,0.102800,1082.576500,1082.576000,138,0.055200,0.0013800000,0.7002315450,29.8790976000
1.30,2.924000,1079.652000,3.030900,1079.490400,0.000000,0.106900,1082.576500,1082.576000,138,0.055200,0.0013800000,0.7003423680,29.8790976000
1.35,2.924000,1079.652000,3.033600,1079.487700,0.000000,0.109600,1082.576500,1082.576000,138,0.055200,0.0013800000,0.7004153490,29.8790976000
1.40,2.924000,1079.652000,3.037700,1079.483600,0.000000,0.113700,1082.576500,1082.576000,138,0.055200,0.0013800000,0.7005261720,29.8790976000
1.45,2.924000,1079.652000,3.040400,1079.480900,0.000000,0.116400,1082.576500,1082.576000,138,0.055200,0.0013800000,0.7005991530,29.8790976000
1.50,2.924000,1079.652000,3.045300,1079.478400,0.000000,0.121300,1082.576500,1082.576000,132,0.052800,0.0013200000,0.7006729680,29.8790976000
1.55,2.924000,1079.652000,3.048000,1079.475700,0.000000,0.124000,1082.576500,1082.576000,132,0.052800,0.0013200000,0.7007459490,29.8790976000
1.60,2.924000,1079.652000,3.051800,1079.471900,0.000000,0.127800,1082.576500,1082.576000,132,0.052800,0.0013200000,0.7008486630,29.8790976000
1.65,2.924000,1079.652000,3.054500,1079.469200,0.000000,0.130500,1082.576500,1082.576000,132,0.052800,0.0013200000,0.7009216440,29.8790976000
1.70,2.924000,1079.652000,3.058300,1079.465400,0.000000,0.134300,1082.576500,1082.576000,132,0.052800,0.0013200000,0.7010243580,29.8790976000
1.75,2.924000,1079.652000,3.061000,1079.462700,0.000000,0.137000,1082.576500,1082.576000,132,0.052800,0.0013200000,0.7010973390,29.8790976000
1.80,2.924000,1079.652000,3.064800,1079.458900,0.000000,0.140800,1082.576500,1082.576000,132,0.052800,0.0013200000,0.7012000530,29.8790976000
1.85,2.924000,1079.652000,3.067500,1079.456200,0.000000,0.143500,1082.576500,1082.576000,132,0.052800,0.0013200000,0.7012730340,29.8790976000
